ID,TIME,obs,obsid,AMOUNT,DOSE_NR,Tlag_cov,ka_cov,V_cov,Cl_cov,R0_cov,kout_cov,Imax_cov,IC50_cov
1,0,.,.,1,.,.,.,.,.,.,.,.,.
1,0,0,Cc,.,.,.,.,.,.,.,.,.,.
1,1,0.643715,Cc,.,.,.,.,.,.,.,.,.,.
1,2,4.6757,Cc,.,.,.,.,.,.,.,.,.,.
1,3,5.58973,Cc,.,.,.,.,.,.,.,.,.,.
1,4,5.73961,Cc,.,.,.,.,.,.,.,.,.,.
1,5,5.70314,Cc,.,.,.,.,.,.,.,.,.,.
1,6,5.62216,Cc,.,.,.,.,.,.,.,.,.,.
1,7,5.53146,Cc,.,.,.,.,.,.,.,.,.,.
1,8,5.43956,Cc,.,.,.,.,.,.,.,.,.,.
1,9,5.34853,Cc,.,.,.,.,.,.,.,.,.,.
1,10,5.25887,Cc,.,.,.,.,.,.,.,.,.,.
1,11,5.17067,Cc,.,.,.,.,.,.,.,.,.,.
1,12,5.08394,Cc,.,.,.,.,.,.,.,.,.,.
1,13,4.99867,Cc,.,.,.,.,.,.,.,.,.,.
1,14,4.91482,Cc,.,.,.,.,.,.,.,.,.,.
1,15,4.83238,Cc,.,.,.,.,.,.,.,.,.,.
1,16,4.75132,Cc,.,.,.,.,.,.,.,.,.,.
1,17,4.67162,Cc,.,.,.,.,.,.,.,.,.,.
1,18,4.59326,Cc,.,.,.,.,.,.,.,.,.,.
1,19,4.51622,Cc,.,.,.,.,.,.,.,.,.,.
1,20,4.44046,Cc,.,.,.,.,.,.,.,.,.,.
1,21,4.36598,Cc,.,.,.,.,.,.,.,.,.,.
1,22,4.29274,Cc,.,.,.,.,.,.,.,.,.,.
1,23,4.22074,Cc,.,.,.,.,.,.,.,.,.,.
1,24,4.14994,Cc,.,.,.,.,.,.,.,.,.,.
1,25,4.08033,Cc,.,.,.,.,.,.,.,.,.,.
1,26,4.01188,Cc,.,.,.,.,.,.,.,.,.,.
1,27,3.94459,Cc,.,.,.,.,.,.,.,.,.,.
1,28,3.87842,Cc,.,.,.,.,.,.,.,.,.,.
1,29,3.81337,Cc,.,.,.,.,.,.,.,.,.,.
1,30,3.7494,Cc,.,.,.,.,.,.,.,.,.,.
1,31,3.68651,Cc,.,.,.,.,.,.,.,.,.,.
1,32,3.62467,Cc,.,.,.,.,.,.,.,.,.,.
1,33,3.56387,Cc,.,.,.,.,.,.,.,.,.,.
1,34,3.50409,Cc,.,.,.,.,.,.,.,.,.,.
1,35,3.44532,Cc,.,.,.,.,.,.,.,.,.,.
1,36,3.38752,Cc,.,.,.,.,.,.,.,.,.,.
1,37,3.3307,Cc,.,.,.,.,.,.,.,.,.,.
1,38,3.27483,Cc,.,.,.,.,.,.,.,.,.,.
1,39,3.2199,Cc,.,.,.,.,.,.,.,.,.,.
1,40,3.16589,Cc,.,.,.,.,.,.,.,.,.,.
1,41,3.11279,Cc,.,.,.,.,.,.,.,.,.,.
1,42,3.06057,Cc,.,.,.,.,.,.,.,.,.,.
1,43,3.00924,Cc,.,.,.,.,.,.,.,.,.,.
1,44,2.95876,Cc,.,.,.,.,.,.,.,.,.,.
1,45,2.90913,Cc,.,.,.,.,.,.,.,.,.,.
1,46,2.86033,Cc,.,.,.,.,.,.,.,.,.,.
1,47,2.81235,Cc,.,.,.,.,.,.,.,.,.,.
1,48,2.76518,Cc,.,.,.,.,.,.,.,.,.,.
1,49,2.7188,Cc,.,.,.,.,.,.,.,.,.,.
1,50,2.67319,Cc,.,.,.,.,.,.,.,.,.,.
1,51,2.62835,Cc,.,.,.,.,.,.,.,.,.,.
1,52,2.58426,Cc,.,.,.,.,.,.,.,.,.,.
1,53,2.54092,Cc,.,.,.,.,.,.,.,.,.,.
1,54,2.49829,Cc,.,.,.,.,.,.,.,.,.,.
1,55,2.45639,Cc,.,.,.,.,.,.,.,.,.,.
1,56,2.41519,Cc,.,.,.,.,.,.,.,.,.,.
1,57,2.37467,Cc,.,.,.,.,.,.,.,.,.,.
1,58,2.33484,Cc,.,.,.,.,.,.,.,.,.,.
1,59,2.29568,Cc,.,.,.,.,.,.,.,.,.,.
1,60,2.25717,Cc,.,.,.,.,.,.,.,.,.,.
1,61,2.21931,Cc,.,.,.,.,.,.,.,.,.,.
1,62,2.18208,Cc,.,.,.,.,.,.,.,.,.,.
1,63,2.14548,Cc,.,.,.,.,.,.,.,.,.,.
1,64,2.10949,Cc,.,.,.,.,.,.,.,.,.,.
1,65,2.07411,Cc,.,.,.,.,.,.,.,.,.,.
1,66,2.03932,Cc,.,.,.,.,.,.,.,.,.,.
1,67,2.00511,Cc,.,.,.,.,.,.,.,.,.,.
1,68,1.97147,Cc,.,.,.,.,.,.,.,.,.,.
1,69,1.93841,Cc,.,.,.,.,.,.,.,.,.,.
1,70,1.90589,Cc,.,.,.,.,.,.,.,.,.,.
1,71,1.87392,Cc,.,.,.,.,.,.,.,.,.,.
1,72,1.84249,Cc,.,.,.,.,.,.,.,.,.,.
1,73,1.81158,Cc,.,.,.,.,.,.,.,.,.,.
1,74,1.7812,Cc,.,.,.,.,.,.,.,.,.,.
1,75,1.75132,Cc,.,.,.,.,.,.,.,.,.,.
1,76,1.72194,Cc,.,.,.,.,.,.,.,.,.,.
1,77,1.69306,Cc,.,.,.,.,.,.,.,.,.,.
1,78,1.66466,Cc,.,.,.,.,.,.,.,.,.,.
1,79,1.63674,Cc,.,.,.,.,.,.,.,.,.,.
1,80,1.60928,Cc,.,.,.,.,.,.,.,.,.,.
1,81,1.58229,Cc,.,.,.,.,.,.,.,.,.,.
1,82,1.55575,Cc,.,.,.,.,.,.,.,.,.,.
1,83,1.52965,Cc,.,.,.,.,.,.,.,.,.,.
1,84,1.50399,Cc,.,.,.,.,.,.,.,.,.,.
1,85,1.47876,Cc,.,.,.,.,.,.,.,.,.,.
1,86,1.45396,Cc,.,.,.,.,.,.,.,.,.,.
1,87,1.42957,Cc,.,.,.,.,.,.,.,.,.,.
1,88,1.40559,Cc,.,.,.,.,.,.,.,.,.,.
1,89,1.38201,Cc,.,.,.,.,.,.,.,.,.,.
1,90,1.35883,Cc,.,.,.,.,.,.,.,.,.,.
1,91,1.33604,Cc,.,.,.,.,.,.,.,.,.,.
1,92,1.31363,Cc,.,.,.,.,.,.,.,.,.,.
1,93,1.29159,Cc,.,.,.,.,.,.,.,.,.,.
1,94,1.26993,Cc,.,.,.,.,.,.,.,.,.,.
1,95,1.24863,Cc,.,.,.,.,.,.,.,.,.,.
1,96,1.22768,Cc,.,.,.,.,.,.,.,.,.,.
1,97,1.20709,Cc,.,.,.,.,.,.,.,.,.,.
1,98,1.18684,Cc,.,.,.,.,.,.,.,.,.,.
1,99,1.16693,Cc,.,.,.,.,.,.,.,.,.,.
1,100,1.14736,Cc,.,.,.,.,.,.,.,.,.,.
1,0,96.5325,R,.,.,.,.,.,.,.,.,.,.
1,1,96.4453,R,.,.,.,.,.,.,.,.,.,.
1,2,92.8748,R,.,.,.,.,.,.,.,.,.,.
1,3,88.9076,R,.,.,.,.,.,.,.,.,.,.
1,4,85.09,R,.,.,.,.,.,.,.,.,.,.
1,5,81.4695,R,.,.,.,.,.,.,.,.,.,.
1,6,78.0482,R,.,.,.,.,.,.,.,.,.,.
1,7,74.8186,R,.,.,.,.,.,.,.,.,.,.
1,8,71.7714,R,.,.,.,.,.,.,.,.,.,.
1,9,68.8975,R,.,.,.,.,.,.,.,.,.,.
1,10,66.1887,R,.,.,.,.,.,.,.,.,.,.
1,11,63.6347,R,.,.,.,.,.,.,.,.,.,.
1,12,61.2281,R,.,.,.,.,.,.,.,.,.,.
1,13,58.9614,R,.,.,.,.,.,.,.,.,.,.
1,14,56.8273,R,.,.,.,.,.,.,.,.,.,.
1,15,54.819,R,.,.,.,.,.,.,.,.,.,.
1,16,52.9301,R,.,.,.,.,.,.,.,.,.,.
1,17,51.1543,R,.,.,.,.,.,.,.,.,.,.
1,18,49.4859,R,.,.,.,.,.,.,.,.,.,.
1,19,47.9192,R,.,.,.,.,.,.,.,.,.,.
1,20,46.4488,R,.,.,.,.,.,.,.,.,.,.
1,21,45.0699,R,.,.,.,.,.,.,.,.,.,.
1,22,43.7776,R,.,.,.,.,.,.,.,.,.,.
1,23,42.5676,R,.,.,.,.,.,.,.,.,.,.
1,24,41.4357,R,.,.,.,.,.,.,.,.,.,.
1,25,40.3781,R,.,.,.,.,.,.,.,.,.,.
1,26,39.3914,R,.,.,.,.,.,.,.,.,.,.
1,27,38.4722,R,.,.,.,.,.,.,.,.,.,.
1,28,37.617,R,.,.,.,.,.,.,.,.,.,.
1,29,36.8224,R,.,.,.,.,.,.,.,.,.,.
1,30,36.0854,R,.,.,.,.,.,.,.,.,.,.
1,31,35.403,R,.,.,.,.,.,.,.,.,.,.
1,32,34.7726,R,.,.,.,.,.,.,.,.,.,.
1,33,34.1916,R,.,.,.,.,.,.,.,.,.,.
1,34,33.6575,R,.,.,.,.,.,.,.,.,.,.
1,35,33.168,R,.,.,.,.,.,.,.,.,.,.
1,36,32.7206,R,.,.,.,.,.,.,.,.,.,.
1,37,32.3133,R,.,.,.,.,.,.,.,.,.,.
1,38,31.9438,R,.,.,.,.,.,.,.,.,.,.
1,39,31.6101,R,.,.,.,.,.,.,.,.,.,.
1,40,31.31,R,.,.,.,.,.,.,.,.,.,.
1,41,31.0416,R,.,.,.,.,.,.,.,.,.,.
1,42,30.8031,R,.,.,.,.,.,.,.,.,.,.
1,43,30.5943,R,.,.,.,.,.,.,.,.,.,.
1,44,30.4137,R,.,.,.,.,.,.,.,.,.,.
1,45,30.2599,R,.,.,.,.,.,.,.,.,.,.
1,46,30.1317,R,.,.,.,.,.,.,.,.,.,.
1,47,30.0278,R,.,.,.,.,.,.,.,.,.,.
1,48,29.9471,R,.,.,.,.,.,.,.,.,.,.
1,49,29.8885,R,.,.,.,.,.,.,.,.,.,.
1,50,29.8509,R,.,.,.,.,.,.,.,.,.,.
1,51,29.8334,R,.,.,.,.,.,.,.,.,.,.
1,52,29.835,R,.,.,.,.,.,.,.,.,.,.
1,53,29.8548,R,.,.,.,.,.,.,.,.,.,.
1,54,29.892,R,.,.,.,.,.,.,.,.,.,.
1,55,29.9458,R,.,.,.,.,.,.,.,.,.,.
1,56,30.0153,R,.,.,.,.,.,.,.,.,.,.
1,57,30.1,R,.,.,.,.,.,.,.,.,.,.
1,58,30.1991,R,.,.,.,.,.,.,.,.,.,.
1,59,30.312,R,.,.,.,.,.,.,.,.,.,.
1,60,30.438,R,.,.,.,.,.,.,.,.,.,.
1,61,30.5765,R,.,.,.,.,.,.,.,.,.,.
1,62,30.727,R,.,.,.,.,.,.,.,.,.,.
1,63,30.889,R,.,.,.,.,.,.,.,.,.,.
1,64,31.062,R,.,.,.,.,.,.,.,.,.,.
1,65,31.2455,R,.,.,.,.,.,.,.,.,.,.
1,66,31.4389,R,.,.,.,.,.,.,.,.,.,.
1,67,31.642,R,.,.,.,.,.,.,.,.,.,.
1,68,31.8542,R,.,.,.,.,.,.,.,.,.,.
1,69,32.0752,R,.,.,.,.,.,.,.,.,.,.
1,70,32.3046,R,.,.,.,.,.,.,.,.,.,.
1,71,32.542,R,.,.,.,.,.,.,.,.,.,.
1,72,32.7871,R,.,.,.,.,.,.,.,.,.,.
1,73,33.0396,R,.,.,.,.,.,.,.,.,.,.
1,74,33.2992,R,.,.,.,.,.,.,.,.,.,.
1,75,33.5656,R,.,.,.,.,.,.,.,.,.,.
1,76,33.8384,R,.,.,.,.,.,.,.,.,.,.
1,77,34.1175,R,.,.,.,.,.,.,.,.,.,.
1,78,34.4025,R,.,.,.,.,.,.,.,.,.,.
1,79,34.6931,R,.,.,.,.,.,.,.,.,.,.
1,80,34.9891,R,.,.,.,.,.,.,.,.,.,.
1,81,35.2903,R,.,.,.,.,.,.,.,.,.,.
1,82,35.5963,R,.,.,.,.,.,.,.,.,.,.
1,83,35.907,R,.,.,.,.,.,.,.,.,.,.
1,84,36.2223,R,.,.,.,.,.,.,.,.,.,.
1,85,36.5418,R,.,.,.,.,.,.,.,.,.,.
1,86,36.8654,R,.,.,.,.,.,.,.,.,.,.
1,87,37.193,R,.,.,.,.,.,.,.,.,.,.
1,88,37.5244,R,.,.,.,.,.,.,.,.,.,.
1,89,37.8594,R,.,.,.,.,.,.,.,.,.,.
1,90,38.198,R,.,.,.,.,.,.,.,.,.,.
1,91,38.54,R,.,.,.,.,.,.,.,.,.,.
1,92,38.8853,R,.,.,.,.,.,.,.,.,.,.
1,93,39.2338,R,.,.,.,.,.,.,.,.,.,.
1,94,39.5855,R,.,.,.,.,.,.,.,.,.,.
1,95,39.9403,R,.,.,.,.,.,.,.,.,.,.
1,96,40.2978,R,.,.,.,.,.,.,.,.,.,.
1,97,40.6578,R,.,.,.,.,.,.,.,.,.,.
1,98,41.0201,R,.,.,.,.,.,.,.,.,.,.
1,99,41.3846,R,.,.,.,.,.,.,.,.,.,.
1,100,41.7512,R,.,.,.,.,.,.,.,.,.,.
1,0,.,.,.,1,0.919959,1.4045,7.89273,0.133515,96.5325,0.0542159,0.996,1.15222
1,200,.,.,.,1,0.919959,1.4045,7.89273,0.133515,96.5325,0.0542159,0.996,1.15222

