parameter,value
Tlag_pop,0.91995867706076
ka_pop,1.40450348840306
V_pop,7.89272638535945
Cl_pop,0.133514721223596
R0_pop,96.5324897552223
kout_pop,0.0542159433196799
Imax_pop,0.995999660996867
IC50_pop,1.15221671864975
omega_Tlag,0.496952140517677
omega_ka,0.881751597861287
omega_V,0.218766032680017
omega_Cl,0.28421354529114
omega_R0,0.0532088946841052
omega_kout,0.105750448438541
omega_Imax,0.534038610082045
omega_IC50,0.449416002842508
a1,0.282490476635365
b1,0.0469452827956834
a2,3.82332257191302
